"Instances","feature_number_ex","feature_number_ftr","feature_ratio_ex_ftr","feature_skewness","feature_kurtosis","feature_multi_norm","feature_perc_out","feature_avg_pca","feature_ratio_pca","feature_avg_abs_cor","feature_low_dist","feature_high_dist","feature_eigen_cent","feature_net_dens","feature_clust_coef","algo_kmeans","algo_kmedians","algo_kmedoids","algo_single","algo_complete","algo_average","algo_wards","algo_closest","algo_mbkmeans"
"ellipsoid.100d10c.10.dat",3.4065,2,25.5,939519.7835,1555.2498,2.6894,4e-04,196.1538,0.13,0.2975,0.1798,0.172,3.0848,0.2096,0.6139,0.382099347026468,0.175913611497943,0.42461994597522,0.000227874431629168,0.420801790689888,0.408713693286877,0.47447061273058,0.207724400201677,0.360223113789031
"ellipsoid.100d10c.2.dat",3.4751,2,29.86,1592391.5208,2581.7114,3.7993,0.0051,248.8333,0.12,0.289,0.1649,0.1578,2.7055,0.2162,0.5557,0.490773807154588,0.190967923329221,0.501997054225587,0.000296704936784489,0.30308242852328,0.280100769647676,0.385012911659984,0.0629887910582817,0.410362458274514
"ellipsoid.100d10c.3.dat",3.4914,2,31,1475992.4743,2507.8604,4.9271,7e-04,221.4286,0.14,0.3068,0.1768,0.1784,3.5285,0.2158,0.5657,0.392248731628455,0.327927254453636,0.48262072290182,0.00015059228769218,0.232079812868808,0.263747476348145,0.541243905606972,0.325260395883295,0.453500896906715
"ellipsoid.100d10c.4.dat",3.3892,2,24.5,1192990.6552,1876.7223,2.6079,5e-04,245,0.1,0.2796,0.1824,0.1696,2.5438,0.2103,0.6067,0.40296472008116,0.195976859175036,0.46027909943806,0.000657012027800842,0.416232829309534,0.323148838016371,0.429708910862986,0.286912591471127,0.441785475114856
"ellipsoid.100d10c.5.dat",3.4752,2,29.87,1601457.1194,2439.7519,3.3878,0.0036,248.9167,0.12,0.2999,0.1674,0.1724,2.6815,0.2115,0.5793,0.5548855393873,0.109860502198939,0.50559829216269,0.000839844866600235,0.214583203390938,0.311707332088476,0.332408773584322,0.260320428528849,0.418472774542656
"ellipsoid.100d10c.6.dat",3.4476,2,28.03,1690758.8048,2569.0474,3.6926,0.0052,233.5833,0.12,0.2921,0.1581,0.1634,2.3508,0.2173,0.5472,0.44677606694062,0.105568973000627,0.578323528396983,0.000177089283338778,0.236410059073433,0.506436957451399,0.546026145599896,0.126613303759586,0.351319763176031
"ellipsoid.100d10c.7.dat",3.4986,2,31.52,1134469.4832,2019.0706,2.9962,2e-04,315.2,0.1,0.2984,0.1838,0.1766,2.9567,0.2153,0.5667,0.336639175018611,0.380986932173722,0.502318604234348,0.000407154818524723,0.26631776928787,0.322847496090182,0.521416990987805,0.244922877166602,0.353386765474556
"ellipsoid.100d10c.8.dat",3.4339,2,27.16,1437433.5897,2288.1846,3.773,0.0013,208.9231,0.13,0.2957,0.1734,0.1758,3.4755,0.2097,0.5883,0.545297800669499,0.129390898447483,0.568358759030643,0.00100078986548122,0.318980206175907,0.326799661017238,0.605577491889449,0.136471730030036,0.427663930910479
"ellipsoid.100d10c.9.dat",3.3228,2,21.03,1288077.6605,1913.6921,3.2934,9e-04,161.7692,0.13,0.3143,0.1797,0.1774,3.816,0.2134,0.5753,0.434454989116037,0.315755135650935,0.415013889455108,0.000147664303079891,0.266878802273583,0.222261346221763,0.540883764256353,0.222371238697407,0.382735038710765
"ellipsoid.100d20c.1.dat",3.1265,2,13.38,1060937.6088,1057.7104,1.5306,0.0109,66.9,0.2,0.2274,0.1492,0.1677,2.6015,0.2439,0.4684,0.272275732224113,0.187719716077448,0.548547948442562,0.00172306375511569,0.166351644451879,0.135719761596805,0.557830061162483,0.0430877017536788,0.239905951380179
"ellipsoid.100d20c.10.dat",3.0864,2,12.2,790630.0143,793.8525,1.2782,6e-04,64.2105,0.19,0.21,0.1712,0.1799,2.9727,0.2442,0.4576,0.415845269634776,0.221333318507078,0.500365031652693,0.0017291564478009,0.264879501240242,0.282829193732371,0.416592949848782,0.0941573276235238,0.274853874744951
"ellipsoid.100d20c.2.dat",3.003,2,10.07,770464.6991,735.8581,1.2519,1e-04,55.9444,0.18,0.2322,0.1772,0.1842,2.9262,0.24,0.4811,0.327379797653858,0.314222232044732,0.413784130497712,0.00127971167539628,0.232893307002147,0.218529284538895,0.518196059895699,0.0844774501241629,0.329303319090637
"ellipsoid.100d20c.3.dat",3.033,2,10.79,808042.7884,776.5889,1.3911,4e-04,59.9444,0.18,0.2113,0.1772,0.1709,2.3775,0.2417,0.4591,0.320575576309252,0.13394120169879,0.389552329485843,0.00245304206069411,0.251017605290382,0.245828615276102,0.505573537086794,0.214585916228468,0.32776554154654
