"kmeans_ari","kmedians_ari","kmedoids_ari","single_ari","complete_ari","average_ari","wards_ari","closest_ari","mbkmeans_ari"
0.766085667649023,0.822048841651232,0.724297722837582,0.000810636800704486,0.660904258129624,0.415572242810148,0.902659636540404,0.000913177958059177,0.841635211256076
0.92986295020833,0.774682754417727,0.677948490369192,9.56185466122426e-05,0.683269556855567,0.633529752411023,0.954784446871584,0.000253829913081605,0.581149610673137
0.952371187293786,0.820038265992771,0.740641319366472,0.000700890645251921,0.700220104986673,0.376599215743112,0.98949031061868,0.000591501148150633,0.462913049388653
0.876037645083467,0.891797485838265,0.620163004754231,0.000814503059809147,0.655362981516252,0.43505462472289,0.986194689698751,0.000736523208666698,0.592244348597716
0.768855885392467,0.733396323482614,0.659585660811487,-1.71753232981469e-05,0.60574909568376,0.494909050679157,0.956123641327048,0.000113090404000344,0.609714193247357
0.9425916714647,0.801553290399863,0.840367660067508,3.95920809431538e-05,0.507800463846501,0.27097099419598,0.977014831329272,-0.000108992880269459,0.516001853796919
0.716497944595015,0.819443585293859,0.62496621136182,0.000623758055188843,0.549870904073663,0.839354343027931,0.828684440608907,0.000549500393825675,0.530207201827097
0.712910202357129,0.833083573756757,0.700344117371716,0.000984418194004793,0.534049454444975,0.629362149567752,0.975075794142678,0.000764068718051887,0.583759850595626
0.85028981152116,0.911957889314747,0.661137685505014,0.000669853285888766,0.513290291818519,0.826900291486923,0.986837203910776,0.000364966897191488,0.482681539695052
0.785609017513603,0.822750819623193,0.471369460359791,0.000912778241682717,0.547397643089322,0.691532787012105,0.893304709893632,0.000426751699273943,0.639953530605503
0.681150190100576,0.94157788654907,0.851999579383301,0.885971214720762,0.998136872620014,0.998136872620014,1,0.852656105411633,0.857593371015451
0.865281366461914,0.943140126265901,0.529697198511436,0.847964609457998,1,1,1,0.953763953102995,0.868936969663722
0.883059767205434,0.967869846207489,0.626264851700022,0.778881809173007,0.99601365337755,0.930211931944499,0.993213499477314,0.808494672976857,0.868619252417957
0.769524395814747,0.905035293553932,0.591142349907592,0.797842118606333,0.993981568595881,0.997969274962569,0.997969274962569,0.81583892517884,0.693754725909303
0.80591035427593,0.933555067950103,0.739181603459379,0.826527867335088,0.991914088906453,0.99379504038886,0.997720057841165,0.692698804218067,0.714125244763405
0.765122938436766,0.942547823158297,0.729204289384022,0.8967760258492,1,1,1,0.897189369633109,0.895412659726986
0.887955532804555,0.886114158507632,0.817366314732887,0.646706282629673,0.998529589375068,0.994824863365428,0.998529589375068,0.468968701913892,0.827608726743244
0.900709514268012,0.898072002780613,0.765947207269828,0.82733958620121,1,1,1,0.904596384362886,0.890452518971582
0.876868755764064,0.882707488434041,0.743969376795273,0.772335104838802,1,1,1,0.571086980657052,0.665920594324303
