"time_kmeans","time_kmedians","time_kmedoids","time_single","time_complete","time_average","time_wards","time_closest","time_mbkmeans"
0,0.01562,0.07807,0.01558,0.03124,0.01559,0.01566,0.01563,0
0,0.01562,0.21874,0.06253,0.07807,0.06252,0.06245,0.06248,0
0,0.01562,0.15308,0.0781,0.07811,0.07099,0.13738,0.07807,0.01562
0,0.01562,0.13742,0.01558,0.03124,0.03124,0.03125,0.01562,0
0.01562,0,0.07811,0.03128,0.03128,0.0312,0.01562,0.01566,0.01562
0,0.01562,0.05126,0.01558,0.01562,0.01566,0.01558,0.016,0
0.04337,0.54948,2.5544,3.63662,2.33408,2.35221,2.42593,2.14284,0.06782
0.03788,0.61326,2.67072,1.97985,1.59249,1.87636,1.85236,1.66094,0.06383
0.02639,0.64633,3.5243,2.63463,2.18,2.50615,2.50214,2.22102,0.0798
0.03128,0.61945,4.44303,2.38577,2.33597,2.74585,2.60732,2.33492,0.07779
0.03123,0.61184,2.39892,1.50272,1.49954,1.68273,1.67178,1.54157,0.06582
0.03126,0.67439,2.65762,2.66792,3.0806,2.65459,2.69673,2.53067,0.0758
0.03121,0.68519,2.15213,2.36235,2.81341,1.91177,2.0172,3.2293,0.06183
0.03124,0.56902,2.81814,2.66642,2.96032,2.41197,2.38118,2.42007,0.06283
0.04686,0.49154,2.21528,2.03769,1.82399,1.89627,1.77124,1.77968,0.05984
0.03124,0.41299,1.26373,1.40283,1.06842,1.10567,1.087,1.20212,0.05784
0.03124,0.45367,0.4978,0.60272,0.42507,0.46543,0.41843,0.44967,0.05186
0.01562,0.3247,0.41791,0.38698,0.36771,0.38215,0.39817,0.37195,0.04488
0.01563,0.27744,0.34005,0.26234,0.2397,0.24658,0.25169,0.24642,0.04388
0.01562,0.37581,0.34059,0.27793,0.27141,0.30959,0.31244,0.29685,0.04388
0.03124,0.35582,0.417,0.34073,0.32468,0.34021,0.32756,0.32805,0.04588
0.01562,0.35626,0.39337,0.3394,0.2968,0.32802,0.3321,0.3685,0.04587
0.02792,0.33059,0.3654,0.31048,0.309,0.32153,0.31747,0.31247,0.04488
0.01563,0.30903,0.30543,0.25788,0.24649,0.26336,0.25029,0.26553,0.04288
0.01562,0.33712,0.34,0.23876,0.23432,0.27684,0.28084,0.24663,0.04189
0,0.31899,0.39488,0.34056,0.32855,0.34371,0.35594,0.30908,0.04987
0.06248,1.31734,1.66374,1.35898,1.20416,1.39488,1.27177,1.19639,0.12115
0.03124,1.1654,1.37683,1.19387,0.92406,1.05833,0.934,0.93073,0.10508
0.03124,1.19981,1.2558,1.08311,0.85408,1.01258,0.96149,0.85248,0.12497
0.0469,0.99197,1.08283,1.16231,0.94633,1.04332,0.95877,0.93075,0.14146
0.04683,1.25953,1.71843,2.36159,1.69947,1.51257,1.63098,1.4274,0.14396
0.03124,1.15242,1.40877,1.61229,1.51227,1.15553,1.42295,1.17772,0.10428
0.05307,1.10851,1.59348,2.29522,1.52031,1.41489,1.50162,1.2688,0.13357
0.03886,1.00948,0.98933,1.5833,0.88413,0.88749,0.95292,0.81694,0.10205
0.03794,1.18573,1.23927,2.45135,1.20245,1.18431,1.21821,1.11374,0.12216
0.04089,1.24297,1.39329,2.82392,1.41142,1.373,1.36801,1.1507,0.13564
0.00997,0.12245,0.4965,0.86205,0.51488,0.43261,0.44677,0.40466,0.02892
0.02493,0.07812,0.34056,0.48936,0.25919,0.26556,0.24994,0.23244,0.02793
0.00798,0.16928,0.35618,0.54014,0.262,0.27806,0.25915,0.25038,0.02693
0.00898,0.13679,0.60173,1.02661,0.46538,0.48452,0.49304,0.44654,0.02892
0.00997,0.18523,0.75991,1.27437,0.64627,0.61858,0.60429,0.54748,0.03192
0.01097,0.10597,0.40346,0.66844,0.37169,0.3531,0.33222,0.3105,0.02693
0.00998,0.07204,0.22678,0.37155,0.16869,0.17798,0.18871,0.17461,0.02493
0.01097,0.12214,0.55604,0.93057,0.46196,0.44925,0.46528,0.42652,0.02992
0.00997,0.11219,0.38745,0.73966,0.37174,0.35714,0.37172,0.3259,0.02793
0.00798,0.07255,0.14066,0.16863,0.1157,0.10595,0.09373,0.09086,0.01995
0.01496,0.29343,1.28077,2.04328,1.08218,0.99559,1.00246,0.9487,0.0389
0.01417,0.31292,2.01102,3.07329,1.49851,1.5467,1.57444,1.40687,0.05186
0.01566,0.33319,2.13633,2.75435,1.53946,1.50737,1.44242,1.33039,0.05685
0.01562,0.28173,1.5337,1.67107,1.11475,1.19042,1.17427,1.14997,0.06482
0.01562,0.24235,1.59503,1.85452,0.95206,1.0433,1.03601,0.94779,0.0641
0,0.17773,0.98924,1.60817,0.87179,0.8183,0.85929,0.7846,0.04093
0.01562,0.29265,1.34564,2.36364,1.19624,1.18589,1.18365,1.10117,0.04665
0.01558,0.23156,0.88292,1.21172,0.75879,0.69659,0.75487,0.68791,0.03526
0.03124,0.39004,1.58108,2.69903,1.42464,1.39053,1.37717,1.26523,0.04997
0,0.23345,0.84878,1.34301,0.63428,0.66531,0.74574,0.67518,0.03556
0.01562,0.23158,0.32458,0.32805,0.20312,0.20611,0.20308,0.18746,0.0379
